HCP_ID,HCP_Name,Province,Specialty,Facility_ID,HCP_Type,Practice_Setting,Years_in_Practice
HCP_0054,Corrina Pacocha,Nova Scotia,Psychiatry,FAC_NS_ACAD_001,Physician,Academic/Teaching Hospital,10
HCP_0055,Conchita Tejada,Nova Scotia,Psychiatry,FAC_NS_PRIV_001,Physician,Private Practice,31
HCP_0056,Colby Schowalter,Nova Scotia,Psychiatry,FAC_NS_CLIN_001,Physician,Community Clinic,25
HCP_0057,Kathyrn Weimann,Nova Scotia,Psychiatry,FAC_NS_PRIV_001,Physician,Private Practice,27
HCP_0058,Lonna Dietrich,Nova Scotia,Psychiatry,FAC_NS_PRIV_001,Physician,Private Practice,34
HCP_0059,Homero Zúñiga,Nova Scotia,Psychiatry,FAC_NS_CLIN_003,Physician,Community Clinic,9
HCP_0060,Maximo Carter,Nova Scotia,Psychiatry,FAC_NS_CLIN_001,Physician,Community Clinic,4
HCP_0061,Arjun Malhotra,Nova Scotia,Psychiatry,FAC_NS_ACAD_001,Physician,Academic/Teaching Hospital,21
HCP_0062,Homero Zúñiga,Nova Scotia,Psychiatry,FAC_NS_PRIV_003,Physician,Private Practice,12
HCP_0063,Sharen McGlynn,Nova Scotia,Psychiatry,FAC_NS_HOSP_002,Physician,Hospital,16
HCP_0064,Hana Kobayashi,Nova Scotia,Psychiatry,FAC_NS_PRIV_001,Physician,Private Practice,9
HCP_0065,Deloris Zemlak,Nova Scotia,Psychiatry,FAC_NS_PRIV_002,Physician,Private Practice,14
HCP_0066,Sergio Dooley,Nova Scotia,Psychiatry,FAC_NS_PRIV_003,Physician,Private Practice,14
HCP_0067,Drew Kohler,Nova Scotia,Psychiatry,FAC_NS_PRIV_003,Physician,Private Practice,13
HCP_0068,Pamala Collier,Nova Scotia,Psychiatry,FAC_NS_ACAD_002,Physician,Academic/Teaching Hospital,26
HCP_0069,Jesus Quiroz,Nova Scotia,Pediatrics,FAC_NS_CLIN_003,Physician,Community Clinic,21
HCP_0070,Don Denesik,Nova Scotia,Pediatrics,FAC_NS_CLIN_003,Physician,Community Clinic,17
HCP_0071,Jeff Waters,Nova Scotia,Pediatrics,FAC_NS_HOSP_002,Physician,Hospital,4
HCP_0072,Shaunte Bergstrom,Nova Scotia,Pediatrics,FAC_NS_PRIV_001,Physician,Private Practice,20
HCP_0073,Suanne Douglas,Nova Scotia,Pediatrics,FAC_NS_CLIN_002,Physician,Community Clinic,7
HCP_0074,Judith Johns,Nova Scotia,Pediatrics,FAC_NS_CLIN_002,Physician,Community Clinic,11
HCP_0075,Dotty Considine,Nova Scotia,Pediatrics,FAC_NS_PRIV_002,Physician,Private Practice,15
HCP_0076,Reyna Keeling,Nova Scotia,Dermatology,FAC_NS_CLIN_002,Physician,Community Clinic,5
HCP_0077,Anton Gibson,Nova Scotia,Dermatology,FAC_NS_CLIN_002,Physician,Community Clinic,14
HCP_0078,Raye Wyman,Nova Scotia,General Surgery,FAC_NS_CLIN_001,Physician,Community Clinic,10
HCP_0079,Steven Greenfelder,Nova Scotia,General Surgery,FAC_NS_CLIN_001,Physician,Community Clinic,30
HCP_0080,Gemma Effertz,Nova Scotia,General Surgery,FAC_NS_HOSP_001,Physician,Hospital,31
HCP_0081,Rahul Menon,Nova Scotia,General Surgery,FAC_NS_ACAD_001,Physician,Academic/Teaching Hospital,1
HCP_0082,Lavinia Douglas,Nova Scotia,General Surgery,FAC_NS_HOSP_001,Physician,Hospital,22
HCP_0083,Tressa Kovacek,Nova Scotia,Urology,FAC_NS_CLIN_001,Physician,Community Clinic,23
HCP_0084,Brandon Gerhold,Nova Scotia,Urology,FAC_NS_PRIV_002,Physician,Private Practice,14
HCP_0085,Darrel Lang,Nova Scotia,Orthopedic Surgery,FAC_NS_HOSP_002,Physician,Hospital,17
HCP_0086,Dahlia Renner,Nova Scotia,Orthopedic Surgery,FAC_NS_PRIV_003,Physician,Private Practice,28
HCP_0087,Oscar Mateo,Nova Scotia,Orthopedic Surgery,FAC_NS_PRIV_002,Physician,Private Practice,14
HCP_0088,Armida Huel,Nova Scotia,Orthopedic Surgery,FAC_NS_PRIV_001,Physician,Private Practice,3
HCP_0089,Alaine Gusikowski,Nova Scotia,Ophthalmology,FAC_NS_CLIN_003,Physician,Community Clinic,14
HCP_0090,Dante Howell,Nova Scotia,Ophthalmology,FAC_NS_HOSP_001,Physician,Hospital,9
HCP_0091,Lavinia Douglas,Nova Scotia,Ophthalmology,FAC_NS_ACAD_001,Physician,Academic/Teaching Hospital,14
HCP_0092,Marianela Anderson,Nova Scotia,Ophthalmology,FAC_NS_CLIN_001,Physician,Community Clinic,9
HCP_0093,Anika Wisozk,Nova Scotia,Obstetrics/Gynecology,FAC_NS_ACAD_002,Physician,Academic/Teaching Hospital,6
HCP_0094,Bart Jenkins,Nova Scotia,Obstetrics/Gynecology,FAC_NS_HOSP_001,Physician,Hospital,35
HCP_0095,Aubrey Greenfelder,Nova Scotia,Obstetrics/Gynecology,FAC_NS_HOSP_002,Physician,Hospital,5
HCP_0096,Homer Wiegand,Nova Scotia,Obstetrics/Gynecology,FAC_NS_ACAD_002,Physician,Academic/Teaching Hospital,25
HCP_0097,Geraldo Kiehn,Nova Scotia,Obstetrics/Gynecology,FAC_NS_ACAD_001,Physician,Academic/Teaching Hospital,26
HCP_0098,Maximo Carter,Nova Scotia,Obstetrics/Gynecology,FAC_NS_ACAD_001,Physician,Academic/Teaching Hospital,22
HCP_0099,Joleen Oberbrunner,New Brunswick,Internal Medicine,FAC_NB_ACAD_002,Physician,Academic/Teaching Hospital,32
HCP_0100,Clint Goldner,New Brunswick,Internal Medicine,FAC_NB_HOSP_001,Physician,Hospital,1
HCP_0101,Brandon Gerhold,New Brunswick,Internal Medicine,FAC_NB_ACAD_001,Physician,Academic/Teaching Hospital,11
HCP_0102,Luke Rath,New Brunswick,Internal Medicine,FAC_NB_PRIV_001,Physician,Private Practice,7
HCP_0103,Marianela Anderson,New Brunswick,Internal Medicine,FAC_NB_HOSP_001,Physician,Hospital,21
HCP_0104,Suzette Monahan,New Brunswick,Cardiology,FAC_NB_HOSP_001,Physician,Hospital,23
HCP_0105,Jeff Waters,New Brunswick,Cardiology,FAC_NB_ACAD_002,Physician,Academic/Teaching Hospital,32
HCP_0106,Hildred Wunsch,New Brunswick,Cardiology,FAC_NB_CLIN_001,Physician,Community Clinic,14
HCP_0107,Rosalind Kutch,New Brunswick,Gastroenterology,FAC_NB_ACAD_002,Physician,Academic/Teaching Hospital,9
HCP_0108,Haywood Gleichner,New Brunswick,Neurology,FAC_NB_HOSP_001,Physician,Hospital,33
HCP_0109,Don Denesik,New Brunswick,Neurology,FAC_NB_CLIN_001,Physician,Community Clinic,24
HCP_0110,Palma Morar,New Brunswick,Psychiatry,FAC_NB_CLIN_002,Physician,Community Clinic,27
HCP_0111,Chere Greenfelder,New Brunswick,Psychiatry,FAC_NB_CLIN_001,Physician,Community Clinic,16
HCP_0112,Rosalind Kutch,New Brunswick,Psychiatry,FAC_NB_PRIV_001,Physician,Private Practice,16
HCP_0113,Rory Kuvalis,New Brunswick,Psychiatry,FAC_NB_ACAD_002,Physician,Academic/Teaching Hospital,14
HCP_0114,Bruno Smitham,New Brunswick,Psychiatry,FAC_NB_ACAD_002,Physician,Academic/Teaching Hospital,27
HCP_0115,Shawnee Zieme,New Brunswick,Psychiatry,FAC_NB_PRIV_002,Physician,Private Practice,8
HCP_0116,Haley Effertz,New Brunswick,Psychiatry,FAC_NB_HOSP_001,Physician,Hospital,35
HCP_0117,Terry Wiegand,New Brunswick,Pediatrics,FAC_NB_ACAD_001,Physician,Academic/Teaching Hospital,7
HCP_0118,Clint Goldner,New Brunswick,Pediatrics,FAC_NB_PRIV_002,Physician,Private Practice,17
HCP_0119,Michell Friesen,New Brunswick,Pediatrics,FAC_NB_PRIV_002,Physician,Private Practice,12
HCP_0120,Brittani Satterfield,New Brunswick,Pediatrics,FAC_NB_PRIV_002,Physician,Private Practice,23
HCP_0121,Jackeline Schmitt,New Brunswick,Pediatrics,FAC_NB_ACAD_002,Physician,Academic/Teaching Hospital,24
HCP_0122,Kurtis Schulist,New Brunswick,Dermatology,FAC_NB_ACAD_001,Physician,Academic/Teaching Hospital,33
HCP_0123,Alia Adams,New Brunswick,General Surgery,FAC_NB_PRIV_002,Physician,Private Practice,28
HCP_0124,Don Denesik,New Brunswick,General Surgery,FAC_NB_PRIV_002,Physician,Private Practice,9
HCP_0125,Toi Kulas,New Brunswick,General Surgery,FAC_NB_PRIV_001,Physician,Private Practice,8
HCP_0126,Haley Effertz,New Brunswick,General Surgery,FAC_NB_CLIN_001,Physician,Community Clinic,32
HCP_0127,Jesus Quiroz,New Brunswick,Urology,FAC_NB_CLIN_001,Physician,Community Clinic,18
HCP_0128,Edmundo Bauch,New Brunswick,Urology,FAC_NB_PRIV_001,Physician,Private Practice,4
HCP_0129,Lenny Dare,New Brunswick,Orthopedic Surgery,FAC_NB_HOSP_001,Physician,Hospital,29
HCP_0130,Roxanna Crist,New Brunswick,Orthopedic Surgery,FAC_NB_CLIN_002,Physician,Community Clinic,23
HCP_0131,Haley Effertz,New Brunswick,Orthopedic Surgery,FAC_NB_PRIV_001,Physician,Private Practice,1
HCP_0132,Rory Kuvalis,New Brunswick,Ophthalmology,FAC_NB_ACAD_001,Physician,Academic/Teaching Hospital,28
HCP_0133,Hassan Rath,New Brunswick,Ophthalmology,FAC_NB_PRIV_001,Physician,Private Practice,22
HCP_0134,Geralyn Mitchell,New Brunswick,Ophthalmology,FAC_NB_CLIN_002,Physician,Community Clinic,22
HCP_0135,Cathi Gulgowski,New Brunswick,Obstetrics/Gynecology,FAC_NB_CLIN_002,Physician,Community Clinic,31
HCP_0136,Myrl Eichmann,New Brunswick,Obstetrics/Gynecology,FAC_NB_PRIV_001,Physician,Private Practice,18
HCP_0137,Raphael Connelly,New Brunswick,Obstetrics/Gynecology,FAC_NB_PRIV_002,Physician,Private Practice,17
HCP_0138,Von Mraz,New Brunswick,Obstetrics/Gynecology,FAC_NB_HOSP_001,Physician,Hospital,22
HCP_0139,Benita Boehm,New Brunswick,Obstetrics/Gynecology,FAC_NB_PRIV_001,Physician,Private Practice,7
HCP_0140,Lavinia Douglas,Quebec,Internal Medicine,FAC_QC_CLIN_016,Physician,Community Clinic,6
HCP_0141,Sipho Dlamini,Quebec,Internal Medicine,FAC_QC_PRIV_010,Physician,Private Practice,30
HCP_0142,Quinton Klocko,Quebec,Internal Medicine,FAC_QC_ACAD_001,Physician,Academic/Teaching Hospital,8
HCP_0143,Chere Greenfelder,Quebec,Internal Medicine,FAC_QC_ACAD_011,Physician,Academic/Teaching Hospital,18
HCP_0144,Adela Chapa,Quebec,Internal Medicine,FAC_QC_PRIV_003,Physician,Private Practice,10
HCP_0145,Sibusiso Ndlovu,Quebec,Internal Medicine,FAC_QC_CLIN_008,Physician,Community Clinic,9
HCP_0146,Earle Rice,Quebec,Internal Medicine,FAC_QC_CLIN_007,Physician,Community Clinic,21
HCP_0147,Terry Wiegand,Quebec,Internal Medicine,FAC_QC_HOSP_007,Physician,Hospital,29
HCP_0148,Florinda Schimmel,Quebec,Internal Medicine,FAC_QC_ACAD_005,Physician,Academic/Teaching Hospital,16
HCP_0149,Ines Weber,Quebec,Internal Medicine,FAC_QC_ACAD_003,Physician,Academic/Teaching Hospital,5
HCP_0150,Devora Sipes,Quebec,Internal Medicine,FAC_QC_ACAD_009,Physician,Academic/Teaching Hospital,9
HCP_0151,Toi Kulas,Quebec,Internal Medicine,FAC_QC_CLIN_010,Physician,Community Clinic,6
HCP_0152,Reggie Mitchell,Quebec,Internal Medicine,FAC_QC_CLIN_015,Physician,Community Clinic,31
HCP_0153,Priya Nair,Quebec,Internal Medicine,FAC_QC_ACAD_001,Physician,Academic/Teaching Hospital,12
HCP_0154,Paige Goodwin,Quebec,Internal Medicine,FAC_QC_PRIV_004,Physician,Private Practice,14
HCP_0155,Carmelina Wisozk,Quebec,Internal Medicine,FAC_QC_PRIV_011,Physician,Private Practice,3
HCP_0156,Haywood Gleichner,Quebec,Internal Medicine,FAC_QC_CLIN_013,Physician,Community Clinic,16
HCP_0157,Mohammed Parisian,Quebec,Internal Medicine,FAC_QC_CLIN_002,Physician,Community Clinic,32
HCP_0158,Geralyn Mitchell,Quebec,Internal Medicine,FAC_QC_PRIV_011,Physician,Private Practice,15
HCP_0159,Shawnee Zieme,Quebec,Internal Medicine,FAC_QC_ACAD_006,Physician,Academic/Teaching Hospital,23
HCP_0160,Dena Rau,Quebec,Internal Medicine,FAC_QC_CLIN_008,Physician,Community Clinic,7
HCP_0161,Ayanda Mthembu,Quebec,Internal Medicine,FAC_QC_ACAD_009,Physician,Academic/Teaching Hospital,6
HCP_0162,Haywood Gleichner,Quebec,Internal Medicine,FAC_QC_HOSP_010,Physician,Hospital,26
HCP_0163,Adela Chapa,Quebec,Internal Medicine,FAC_QC_CLIN_013,Physician,Community Clinic,3
HCP_0164,Adela Chapa,Quebec,Internal Medicine,FAC_QC_ACAD_005,Physician,Academic/Teaching Hospital,16
HCP_0165,Caroyln Hyatt,Quebec,Internal Medicine,FAC_QC_ACAD_009,Physician,Academic/Teaching Hospital,12
HCP_0166,Hae Ruecker,Quebec,Internal Medicine,FAC_QC_ACAD_007,Physician,Academic/Teaching Hospital,1
HCP_0167,Rayford Wisozk,Quebec,Internal Medicine,FAC_QC_CLIN_004,Physician,Community Clinic,19
HCP_0168,Edie Howell,Quebec,Internal Medicine,FAC_QC_ACAD_012,Physician,Academic/Teaching Hospital,34
HCP_0169,Felton Glover,Quebec,Internal Medicine,FAC_QC_ACAD_003,Physician,Academic/Teaching Hospital,3
HCP_0170,Phillip McCullough,Quebec,Internal Medicine,FAC_QC_ACAD_001,Physician,Academic/Teaching Hospital,29
HCP_0171,Vern Powlowski,Quebec,Internal Medicine,FAC_QC_HOSP_015,Physician,Hospital,19
HCP_0172,Hassan Rath,Quebec,Internal Medicine,FAC_QC_PRIV_001,Physician,Private Practice,26
HCP_0173,Crissy O'Connell,Quebec,Internal Medicine,FAC_QC_ACAD_008,Physician,Academic/Teaching Hospital,4
HCP_0174,Della Steuber,Quebec,Internal Medicine,FAC_QC_ACAD_004,Physician,Academic/Teaching Hospital,31
HCP_0175,Augustine Fisher,Quebec,Internal Medicine,FAC_QC_HOSP_007,Physician,Hospital,1
HCP_0176,Suanne Douglas,Quebec,Internal Medicine,FAC_QC_ACAD_011,Physician,Academic/Teaching Hospital,32
HCP_0177,Thad Osinski,Quebec,Internal Medicine,FAC_QC_HOSP_003,Physician,Hospital,24
HCP_0178,Tressa Kovacek,Quebec,Internal Medicine,FAC_QC_CLIN_017,Physician,Community Clinic,12
HCP_0179,Carla Koss,Quebec,Internal Medicine,FAC_QC_PRIV_004,Physician,Private Practice,1
HCP_0180,Tu Witting,Quebec,Internal Medicine,FAC_QC_CLIN_014,Physician,Community Clinic,22
HCP_0181,Rahul Menon,Quebec,Internal Medicine,FAC_QC_PRIV_009,Physician,Private Practice,4
HCP_0182,Lonna Dietrich,Quebec,Internal Medicine,FAC_QC_HOSP_012,Physician,Hospital,22
HCP_0183,Conchita Tejada,Quebec,Internal Medicine,FAC_QC_PRIV_010,Physician,Private Practice,28
HCP_0184,Augustine Fisher,Quebec,Internal Medicine,FAC_QC_PRIV_012,Physician,Private Practice,10
HCP_0185,Conchita Tejada,Quebec,Internal Medicine,FAC_QC_PRIV_007,Physician,Private Practice,9
HCP_0186,Curtis Hamill,Quebec,Internal Medicine,FAC_QC_CLIN_015,Physician,Community Clinic,8
HCP_0187,Edie Howell,Quebec,Internal Medicine,FAC_QC_CLIN_002,Physician,Community Clinic,8
HCP_0188,Victor Fadel,Quebec,Internal Medicine,FAC_QC_CLIN_010,Physician,Community Clinic,4
HCP_0189,Geraldo Kiehn,Quebec,Internal Medicine,FAC_QC_CLIN_009,Physician,Community Clinic,9
HCP_0190,Myrl Eichmann,Quebec,Internal Medicine,FAC_QC_PRIV_001,Physician,Private Practice,24
HCP_0191,Maximo Carter,Quebec,Internal Medicine,FAC_QC_CLIN_011,Physician,Community Clinic,11
HCP_0192,Darrel Lang,Quebec,Internal Medicine,FAC_QC_CLIN_015,Physician,Community Clinic,28
HCP_0193,Lucienne Hudson,Quebec,Internal Medicine,FAC_QC_CLIN_007,Physician,Community Clinic,29
HCP_0194,Micheal Deckow,Quebec,Internal Medicine,FAC_QC_HOSP_001,Physician,Hospital,27
HCP_0195,Mika Suzuki,Quebec,Internal Medicine,FAC_QC_PRIV_011,Physician,Private Practice,19
HCP_0196,Malinda Cassin,Quebec,Internal Medicine,FAC_QC_ACAD_002,Physician,Academic/Teaching Hospital,12
HCP_0197,Ofelia Skiles,Quebec,Internal Medicine,FAC_QC_CLIN_010,Physician,Community Clinic,33
HCP_0198,Myong Heidenreich,Quebec,Internal Medicine,FAC_QC_ACAD_009,Physician,Academic/Teaching Hospital,8
HCP_0199,Ofelia Skiles,Quebec,Internal Medicine,FAC_QC_PRIV_002,Physician,Private Practice,17
HCP_0200,Mika Suzuki,Quebec,Internal Medicine,FAC_QC_HOSP_007,Physician,Hospital,16
HCP_0201,Sharen McGlynn,Quebec,Internal Medicine,FAC_QC_CLIN_012,Physician,Community Clinic,27
HCP_0202,Ananya Mehta,Quebec,Internal Medicine,FAC_QC_HOSP_015,Physician,Hospital,20
HCP_0203,Conchita Tejada,Quebec,Internal Medicine,FAC_QC_HOSP_007,Physician,Hospital,28
HCP_0204,Dahlia Renner,Quebec,Internal Medicine,FAC_QC_CLIN_013,Physician,Community Clinic,33
HCP_0205,Bruno Smitham,Quebec,Internal Medicine,FAC_QC_CLIN_014,Physician,Community Clinic,14
HCP_0206,Lesley Murazik,Quebec,Internal Medicine,FAC_QC_ACAD_015,Physician,Academic/Teaching Hospital,31
HCP_0207,Edmundo Bauch,Quebec,Internal Medicine,FAC_QC_HOSP_011,Physician,Hospital,6
HCP_0208,Hana Kobayashi,Quebec,Internal Medicine,FAC_QC_ACAD_002,Physician,Academic/Teaching Hospital,33
HCP_0209,Harley Bins,Quebec,Cardiology,FAC_QC_HOSP_008,Physician,Hospital,7
HCP_0210,Rosalind Kutch,Quebec,Cardiology,FAC_QC_HOSP_004,Physician,Hospital,30
HCP_0211,Harley Bins,Quebec,Cardiology,FAC_QC_PRIV_002,Physician,Private Practice,14
HCP_0212,Thad Osinski,Quebec,Cardiology,FAC_QC_ACAD_005,Physician,Academic/Teaching Hospital,34
HCP_0213,Hildred Wunsch,Quebec,Cardiology,FAC_QC_PRIV_009,Physician,Private Practice,5
HCP_0214,Ezequiel Hoeger,Quebec,Cardiology,FAC_QC_HOSP_005,Physician,Hospital,17
HCP_0215,Kelly Boyle,Quebec,Cardiology,FAC_QC_HOSP_008,Physician,Hospital,32
HCP_0216,Randa Leuschke,Quebec,Cardiology,FAC_QC_CLIN_006,Physician,Community Clinic,2
HCP_0217,Jesus Quiroz,Quebec,Cardiology,FAC_QC_CLIN_017,Physician,Community Clinic,10
HCP_0218,Oscar Mateo,Quebec,Cardiology,FAC_QC_ACAD_013,Physician,Academic/Teaching Hospital,3
HCP_0219,Curtis Hamill,Quebec,Cardiology,FAC_QC_CLIN_001,Physician,Community Clinic,12
HCP_0220,Carla Koss,Quebec,Cardiology,FAC_QC_HOSP_002,Physician,Hospital,14
HCP_0221,Mohammed Parisian,Quebec,Cardiology,FAC_QC_ACAD_009,Physician,Academic/Teaching Hospital,22
HCP_0222,Daron Berge,Quebec,Cardiology,FAC_QC_HOSP_007,Physician,Hospital,10
HCP_0223,Palma Morar,Quebec,Cardiology,FAC_QC_HOSP_007,Physician,Hospital,6
HCP_0224,Donita Ward,Quebec,Cardiology,FAC_QC_CLIN_009,Physician,Community Clinic,6
HCP_0225,Della Steuber,Quebec,Cardiology,FAC_QC_CLIN_011,Physician,Community Clinic,33
HCP_0226,So Legros,Quebec,Cardiology,FAC_QC_PRIV_008,Physician,Private Practice,34
HCP_0227,Glory Hickle,Quebec,Cardiology,FAC_QC_ACAD_003,Physician,Academic/Teaching Hospital,8
HCP_0228,Leilani Stoltenberg,Quebec,Cardiology,FAC_QC_ACAD_004,Physician,Academic/Teaching Hospital,7
HCP_0229,Kathyrn Weimann,Quebec,Cardiology,FAC_QC_CLIN_002,Physician,Community Clinic,2
HCP_0230,Sanford Gottlieb,Quebec,Cardiology,FAC_QC_ACAD_012,Physician,Academic/Teaching Hospital,34
HCP_0231,Suanne Douglas,Quebec,Cardiology,FAC_QC_PRIV_001,Physician,Private Practice,25
HCP_0232,Toi Kulas,Quebec,Cardiology,FAC_QC_HOSP_013,Physician,Hospital,27
HCP_0233,Jeanmarie Beatty,Quebec,Cardiology,FAC_QC_ACAD_013,Physician,Academic/Teaching Hospital,11
HCP_0234,Yasmine Boehm,Quebec,Cardiology,FAC_QC_HOSP_002,Physician,Hospital,23
HCP_0235,Zaida Treutel,Quebec,Cardiology,FAC_QC_PRIV_003,Physician,Private Practice,3
HCP_0236,Thad Osinski,Quebec,Cardiology,FAC_QC_ACAD_006,Physician,Academic/Teaching Hospital,24
